data_source,n_shards,total_size_tokenized(GB),total_tokens(B),Used total tokens(B),weight=avg_tokens_per_shard(B),std_shard_size,avg_size_shard(GB),shard_0_size(GB),,theoretical nb_tokens (B),difference to actual
pull_requests,10,39.07,19.54,19.54,1.95,0.02,4.78,4.74,,20,0.46
issues,5,22.11,11.06,11.06,2.21,0,4.42,4.42,,8,3.06
jupyter_structured,6,29.47,14.74,14.74,2.46,0.02,5.05,5.04,,11,3.74
jupyter_scripts,6,32.58,16.29,16.29,2.72,0.02,5.43,5.44,,13,3.29
kaggle_scripts,1,3.35,1.68,1.68,1.68,0,3.35,3.35,,1.2,0.48
documentation,1,3.19,1.6,1.6,1.6,0,3.19,3.19,,1.6,0
owm,6,28.83,14.42,14.42,2.4,0.1,4.8,4.84,,14.6,0.18
wikipedia,3,12.23,6.12,0,0,0.55,4.08,4.66,,6.1,0.02
stackoverflow,3,20.51,10.26,10.26,3.42,0.19,6.84,6.65,,13,2.74
lhq_data,3,11.56,5.78,1,0.33,1.16,7.07,8.61,,5.7,0.08
arxiv,6,60.52,30.26,0,0,1.02,10.09,10.54,,30.2,0.06
ir_cpp,1,16.55,8.28,1,1,0,16.55,16.55,,1,
ir_rust,1,4.51,2.26,1,1,0,4.51,4.51,,1,
ir_python,1,12.45,6.22,1,1,0,12.45,12.45,,1,
ir_low_resource,1,9.82,4.91,3,3,0,9.82,9.82,,2,2.91
stack_3b,256,1051,525.5,525.5,2.05,0.36,3.03,2.66,,800,274.5
