,num_layer,hidden_size,num_heads,param_count,compute,training_tokens,attention_head_type,sequence_length,batch_size_tokens,global_batch_size,learning_rate,num_gpu,training_time,micro_batch_size,training_iters,lr_warmup_iters
,2,128,2,6.9,3.00E+18,7.21E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,137545,1000
,4,192,3,11.4,3.00E+18,4.37E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,83386,1000
,4,256,4,15.9,3.00E+18,3.14E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,59963,1000
,6,384,6,28.9,3.00E+18,1.73E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,33023,1000
,8,512,8,47.8,3.00E+18,1.05E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,19942,1000
,10,640,10,74.7,3.00E+18,6.69E+09,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,12766,1000
,12,768,12,111.5,3.00E+18,4.49E+09,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,8554,855
,20,768,12,159.5,3.00E+18,3.13E+09,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,5978,597
,20,896,14,209.0,3.00E+18,2.39E+09,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,4562,456
,22,1024,16,286.4,3.00E+18,1.75E+09,multiquery,2048,5.24E+05,256,3.00E-04,2,0.139,128,3330,333
,22,1280,10,433.7,3.00E+18,1.15E+09,multiquery,2048,5.24E+05,256,2.00E-04,2,0.139,128,2199,219
,2,128,2,6.9,6.00E+18,1.44E+11,multiquery,2048,5.24E+05,256,3.00E-04,2,0.278,128,275091,1000
,4,192,3,11.4,6.00E+18,8.74E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.278,128,166772,1000
,4,256,4,15.9,6.00E+18,6.29E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.278,128,119926,1000
,6,384,6,28.9,6.00E+18,3.46E+10,multiquery,2048,5.24E+05,256,3.00E-04,2,0.278,128,66047,1000
